Name,Titel,Position,Organisation,Fachgebiet,Expertise,Email,LinkedIn,Twitter,Website,Standort,Tags,Letzte Aktualisierung
Dr. Laura Wagner,Senior AI Researcher,,,,Machine Learning; Deep Learning; Computer Vision,,,,,,,
Dr. Alexander Weber,Senior AI Researcher,,,,Neural Networks; Reinforcement Learning; AI Ethics,,,,,,,
PD Dr. Martin Hoffmann,Senior AI Researcher,,,,Reinforcement Learning; Machine Learning; Quantum AI,,,,,,,
Prof. Dr. Christian Meyer,Professor für KI und ML,,,,Explainable AI; Natural Language Processing; Neural Networks,,,,,,,
Prof. Dr. Martin Wagner,Professor für KI und ML,,,,Explainable AI; AI Ethics; Computer Vision,,,,,,,
Prof. Dr. Martin Müller,Professor für KI und ML,,,,Machine Learning; Robotics; Deep Learning,,,,,,,
Dr. Maria Schmidt,Senior AI Researcher,,,,Explainable AI; Neural Networks; Computer Vision,,,,,,,
PD Dr. Alexander Schmidt,Senior AI Researcher,,,,Robotics; Explainable AI; Deep Learning,,,,,,,
Dr. Alexander Fischer,Senior AI Researcher,,,,Machine Learning; Reinforcement Learning; Quantum AI,,,,,,,
Prof. Julia Fischer,Professor für KI und ML,,,,Computer Vision; Quantum AI; AI Ethics,,,,,,,
PD Dr. Sophie Wagner,Senior AI Researcher,,,,Machine Learning; Deep Learning; Neural Networks,,,,,,,
Prof. Dr. Alexander Weber,Professor für KI und ML,,,,Explainable AI; Computer Vision; Neural Networks,,,,,,,
PD Dr. Christian Hoffmann,Senior AI Researcher,,,,Robotics; AI Ethics; Natural Language Processing,,,,,,,
Prof. Laura Fischer,Professor für KI und ML,,,,Deep Learning; Quantum AI; Computer Vision,,,,,,,
Prof. Martin Meyer,Professor für KI und ML,,,,Neural Networks; AI Ethics; Robotics,,,,,,,
Prof. Christian Hoffmann,Professor für KI und ML,,,,Reinforcement Learning; AI Ethics; Computer Vision,,,,,,,
Dr. Michael Wagner,Senior AI Researcher,,,,AI Ethics; Reinforcement Learning; Quantum AI,,,,,,,
Dr. Maria Becker,Senior AI Researcher,,,,Robotics; Natural Language Processing; Machine Learning,,,,,,,
Prof. Dr. Christian Meyer,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; Robotics,,,,,,,
Prof. Dr. Maria Weber,Professor für KI und ML,,,,Deep Learning; Neural Networks; Explainable AI,,,,,,,
Dr. Laura Fischer,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; AI Ethics,,,,,,,
Prof. Michael Hoffmann,Professor für KI und ML,,,,Machine Learning; Robotics; Explainable AI,,,,,,,
Prof. Anna Müller,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; Quantum AI,,,,,,,
Prof. Sophie Müller,Professor für KI und ML,,,,Quantum AI; Natural Language Processing; Deep Learning,,,,,,,
PD Dr. Laura Schmidt,Senior AI Researcher,,,,Quantum AI; AI Ethics; Machine Learning,,,,,,,
Dr. Anna Fischer,Senior AI Researcher,,,,Natural Language Processing; Neural Networks; Reinforcement Learning,,,,,,,
Prof. Dr. Laura Fischer,Professor für KI und ML,,,,Neural Networks; Robotics; Computer Vision,,,,,,,
PD Dr. Anna Becker,Senior AI Researcher,,,,Machine Learning; Neural Networks; Deep Learning,,,,,,,
PD Dr. Sophie Weber,Senior AI Researcher,,,,Natural Language Processing; Robotics; Explainable AI,,,,,,,
Prof. Dr. Alexander Meyer,Professor für KI und ML,,,,Reinforcement Learning; Deep Learning; Machine Learning,,,,,,,
Prof. Dr. Maria Müller,Professor für KI und ML,,,,Deep Learning; Computer Vision; Reinforcement Learning,,,,,,,
Prof. Thomas Schulz,Professor für KI und ML,,,,Computer Vision; AI Ethics; Deep Learning,,,,,,,
PD Dr. Anna Weber,Senior AI Researcher,,,,Robotics; AI Ethics; Computer Vision,,,,,,,
Dr. Sophie Schulz,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Robotics,,,,,,,
Dr. Alexander Wagner,Senior AI Researcher,,,,Neural Networks; Computer Vision; Explainable AI,,,,,,,
Dr. Martin Schulz,Senior AI Researcher,,,,Machine Learning; Quantum AI; Deep Learning,,,,,,,
PD Dr. Thomas Meyer,Senior AI Researcher,,,,Machine Learning; Neural Networks; Quantum AI,,,,,,,
Prof. Dr. Alexander Weber,Professor für KI und ML,,,,Explainable AI; Quantum AI; AI Ethics,,,,,,,
Prof. Martin Schulz,Professor für KI und ML,,,,Machine Learning; Computer Vision; Natural Language Processing,,,,,,,
Prof. Thomas Koch,Professor für KI und ML,,,,Robotics; Explainable AI; Quantum AI,,,,,,,
Dr. Sophie Weber,Senior AI Researcher,,,,Machine Learning; Neural Networks; AI Ethics,,,,,,,
PD Dr. Julia Schulz,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; Neural Networks,,,,,,,
Prof. Christian Müller,Professor für KI und ML,,,,AI Ethics; Machine Learning; Deep Learning,,,,,,,
PD Dr. Julia Schmidt,Senior AI Researcher,,,,Explainable AI; Natural Language Processing; Computer Vision,,,,,,,
Dr. Martin Müller,Senior AI Researcher,,,,Robotics; Computer Vision; Neural Networks,,,,,,,
Prof. Dr. Christian Fischer,Professor für KI und ML,,,,Machine Learning; Deep Learning; Neural Networks,,,,,,,
Dr. Thomas Hoffmann,Senior AI Researcher,,,,Explainable AI; Natural Language Processing; Deep Learning,,,,,,,
PD Dr. Michael Koch,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Computer Vision,,,,,,,
Dr. Maria Wagner,Senior AI Researcher,,,,Neural Networks; Machine Learning; Quantum AI,,,,,,,
Prof. Christian Hoffmann,Professor für KI und ML,,,,Machine Learning; Deep Learning; Explainable AI,,,,,,,
Prof. Dr. Maria Koch,Professor für KI und ML,,,,Machine Learning; Deep Learning; AI Ethics,,,,,,,
Dr. Sophie Becker,Senior AI Researcher,,,,Neural Networks; Machine Learning; AI Ethics,,,,,,,
PD Dr. Anna Wagner,Senior AI Researcher,,,,Robotics; Computer Vision; Quantum AI,,,,,,,
Prof. Dr. Julia Müller,Professor für KI und ML,,,,Explainable AI; Reinforcement Learning; Machine Learning,,,,,,,
Prof. Dr. Christian Müller,Professor für KI und ML,,,,Explainable AI; Neural Networks; Machine Learning,,,,,,,
Dr. Laura Fischer,Senior AI Researcher,,,,Machine Learning; Computer Vision; Neural Networks,,,,,,,
Prof. Michael Wagner,Professor für KI und ML,,,,Computer Vision; Machine Learning; Robotics,,,,,,,
Prof. Dr. Julia Weber,Professor für KI und ML,,,,Robotics; Reinforcement Learning; Natural Language Processing,,,,,,,
PD Dr. Anna Koch,Senior AI Researcher,,,,Machine Learning; Explainable AI; Deep Learning,,,,,,,
Dr. Michael Schulz,Senior AI Researcher,,,,Computer Vision; Machine Learning; AI Ethics,,,,,,,
Prof. Maria Schmidt,Professor für KI und ML,,,,Natural Language Processing; Computer Vision; Deep Learning,,,,,,,
Dr. Sophie Schmidt,Senior AI Researcher,,,,Neural Networks; AI Ethics; Quantum AI,,,,,,,
Prof. Alexander Fischer,Professor für KI und ML,,,,Robotics; AI Ethics; Reinforcement Learning,,,,,,,
Prof. Alexander Meyer,Professor für KI und ML,,,,Neural Networks; Machine Learning; Natural Language Processing,,,,,,,
Prof. Anna Becker,Professor für KI und ML,,,,Quantum AI; AI Ethics; Machine Learning,,,,,,,
PD Dr. Michael Fischer,Senior AI Researcher,,,,Machine Learning; AI Ethics; Natural Language Processing,,,,,,,
Dr. Thomas Meyer,Senior AI Researcher,,,,Computer Vision; AI Ethics; Natural Language Processing,,,,,,,
Dr. Anna Weber,Senior AI Researcher,,,,AI Ethics; Robotics; Neural Networks,,,,,,,
Prof. Alexander Hoffmann,Professor für KI und ML,,,,AI Ethics; Deep Learning; Natural Language Processing,,,,,,,
Prof. Martin Weber,Professor für KI und ML,,,,Machine Learning; Deep Learning; Explainable AI,,,,,,,
Prof. Thomas Koch,Professor für KI und ML,,,,Machine Learning; Natural Language Processing; Explainable AI,,,,,,,
Dr. Julia Müller,Senior AI Researcher,,,,Computer Vision; Machine Learning; Neural Networks,,,,,,,
Prof. Dr. Christian Müller,Professor für KI und ML,,,,AI Ethics; Quantum AI; Machine Learning,,,,,,,
Prof. Christian Schulz,Professor für KI und ML,,,,Machine Learning; Neural Networks; Quantum AI,,,,,,,
PD Dr. Thomas Fischer,Senior AI Researcher,,,,Natural Language Processing; Machine Learning; Deep Learning,,,,,,,
PD Dr. Christian Fischer,Senior AI Researcher,,,,Machine Learning; Neural Networks; AI Ethics,,,,,,,
Dr. Maria Schmidt,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Computer Vision,,,,,,,
PD Dr. Sophie Hoffmann,Senior AI Researcher,,,,Deep Learning; Machine Learning; Quantum AI,,,,,,,
Prof. Dr. Christian Fischer,Professor für KI und ML,,,,Machine Learning; Neural Networks; Explainable AI,,,,,,,
Prof. Dr. Sophie Koch,Professor für KI und ML,,,,Natural Language Processing; Reinforcement Learning; AI Ethics,,,,,,,
Prof. Dr. Julia Wagner,Professor für KI und ML,,,,Computer Vision; Quantum AI; Reinforcement Learning,,,,,,,
Prof. Anna Hoffmann,Professor für KI und ML,,,,Natural Language Processing; Explainable AI; AI Ethics,,,,,,,
PD Dr. Michael Müller,Senior AI Researcher,,,,Reinforcement Learning; Computer Vision; Deep Learning,,,,,,,
Prof. Julia Hoffmann,Professor für KI und ML,,,,Machine Learning; Deep Learning; AI Ethics,,,,,,,
Prof. Anna Hoffmann,Professor für KI und ML,,,,Machine Learning; AI Ethics; Robotics,,,,,,,
Dr. Christian Hoffmann,Senior AI Researcher,,,,Machine Learning; Robotics; Computer Vision,,,,,,,
PD Dr. Thomas Meyer,Senior AI Researcher,,,,Reinforcement Learning; Neural Networks; Computer Vision,,,,,,,
Dr. Alexander Schulz,Senior AI Researcher,,,,Robotics; AI Ethics; Reinforcement Learning,,,,,,,
Prof. Christian Koch,Professor für KI und ML,,,,Machine Learning; AI Ethics; Explainable AI,,,,,,,
PD Dr. Michael Schulz,Senior AI Researcher,,,,Robotics; Neural Networks; Machine Learning,,,,,,,
Dr. Maria Schmidt,Senior AI Researcher,,,,Natural Language Processing; Robotics; Quantum AI,,,,,,,
Prof. Dr. Michael Koch,Professor für KI und ML,,,,Machine Learning; Robotics; Reinforcement Learning,,,,,,,
Dr. Michael Weber,Senior AI Researcher,,,,Machine Learning; Neural Networks; Deep Learning,,,,,,,
Prof. Dr. Thomas Weber,Professor für KI und ML,,,,Robotics; Explainable AI; Deep Learning,,,,,,,
Prof. Dr. Anna Meyer,Professor für KI und ML,,,,Machine Learning; Explainable AI; Neural Networks,,,,,,,
Prof. Dr. Martin Schulz,Professor für KI und ML,,,,Natural Language Processing; Reinforcement Learning; Neural Networks,,,,,,,
Prof. Dr. Thomas Meyer,Professor für KI und ML,,,,Quantum AI; AI Ethics; Reinforcement Learning,,,,,,,
Prof. Anna Hoffmann,Professor für KI und ML,,,,Deep Learning; Neural Networks; Machine Learning,,,,,,,
Prof. Sophie Becker,Professor für KI und ML,,,,Neural Networks; Computer Vision; Explainable AI,,,,,,,
PD Dr. Laura Schulz,Senior AI Researcher,,,,Quantum AI; Natural Language Processing; Neural Networks,,,,,,,
Prof. Christian Schmidt,Professor für KI und ML,,,,AI Ethics; Explainable AI; Robotics,,,,,,,
Prof. Dr. Laura Weber,Professor für KI und ML,,,,Machine Learning; Computer Vision; Deep Learning,,,,,,,
Dr. Sophie Fischer,Senior AI Researcher,,,,Deep Learning; Machine Learning; Computer Vision,,,,,,,
Prof. Dr. Maria Meyer,Professor für KI und ML,,,,Deep Learning; Machine Learning; Natural Language Processing,,,,,,,
Dr. Alexander Müller,Senior AI Researcher,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
Dr. Sophie Wagner,Senior AI Researcher,,,,Reinforcement Learning; Computer Vision; Natural Language Processing,,,,,,,
Prof. Dr. Julia Fischer,Professor für KI und ML,,,,AI Ethics; Neural Networks; Explainable AI,,,,,,,
Dr. Anna Müller,Senior AI Researcher,,,,Deep Learning; Neural Networks; Machine Learning,,,,,,,
Prof. Dr. Maria Koch,Professor für KI und ML,,,,Machine Learning; Computer Vision; Quantum AI,,,,,,,
Prof. Dr. Laura Wagner,Professor für KI und ML,,,,Deep Learning; Quantum AI; Natural Language Processing,,,,,,,
Dr. Michael Müller,Senior AI Researcher,,,,Robotics; Neural Networks; Reinforcement Learning,,,,,,,
Prof. Anna Koch,Professor für KI und ML,,,,Neural Networks; AI Ethics; Computer Vision,,,,,,,
PD Dr. Laura Wagner,Senior AI Researcher,,,,Machine Learning; Deep Learning; Reinforcement Learning,,,,,,,
Prof. Dr. Michael Meyer,Professor für KI und ML,,,,Neural Networks; Robotics; Quantum AI,,,,,,,
Prof. Julia Koch,Professor für KI und ML,,,,Explainable AI; Robotics; Machine Learning,,,,,,,
Dr. Alexander Koch,Senior AI Researcher,,,,Computer Vision; Deep Learning; Quantum AI,,,,,,,
PD Dr. Martin Koch,Senior AI Researcher,,,,Computer Vision; Reinforcement Learning; Explainable AI,,,,,,,
Prof. Dr. Thomas Fischer,Professor für KI und ML,,,,Quantum AI; Machine Learning; Reinforcement Learning,,,,,,,
PD Dr. Julia Wagner,Senior AI Researcher,,,,AI Ethics; Machine Learning; Deep Learning,,,,,,,
Dr. Martin Becker,Senior AI Researcher,,,,Robotics; Machine Learning; Deep Learning,,,,,,,
Dr. Maria Hoffmann,Senior AI Researcher,,,,Machine Learning; Deep Learning; Explainable AI,,,,,,,
Prof. Dr. Alexander Hoffmann,Professor für KI und ML,,,,Neural Networks; Quantum AI; Machine Learning,,,,,,,
Dr. Laura Weber,Senior AI Researcher,,,,Neural Networks; Machine Learning; Explainable AI,,,,,,,
Prof. Michael Hoffmann,Professor für KI und ML,,,,Robotics; Reinforcement Learning; Computer Vision,,,,,,,
Prof. Sophie Hoffmann,Professor für KI und ML,,,,Machine Learning; Reinforcement Learning; Explainable AI,,,,,,,
Dr. Anna Hoffmann,Senior AI Researcher,,,,Explainable AI; Neural Networks; Machine Learning,,,,,,,
Dr. Michael Wagner,Senior AI Researcher,,,,Explainable AI; Deep Learning; AI Ethics,,,,,,,
Prof. Dr. Julia Fischer,Professor für KI und ML,,,,Reinforcement Learning; AI Ethics; Robotics,,,,,,,
Dr. Laura Becker,Senior AI Researcher,,,,AI Ethics; Machine Learning; Explainable AI,,,,,,,
Dr. Anna Weber,Senior AI Researcher,,,,Deep Learning; Machine Learning; Neural Networks,,,,,,,
PD Dr. Alexander Müller,Senior AI Researcher,,,,Explainable AI; Deep Learning; AI Ethics,,,,,,,
PD Dr. Michael Becker,Senior AI Researcher,,,,Natural Language Processing; Neural Networks; Deep Learning,,,,,,,
Prof. Michael Becker,Professor für KI und ML,,,,Machine Learning; Robotics; Explainable AI,,,,,,,
Prof. Laura Müller,Professor für KI und ML,,,,Reinforcement Learning; Machine Learning; AI Ethics,,,,,,,
Dr. Maria Meyer,Senior AI Researcher,,,,Machine Learning; Quantum AI; Reinforcement Learning,,,,,,,
PD Dr. Maria Fischer,Senior AI Researcher,,,,Reinforcement Learning; Computer Vision; Neural Networks,,,,,,,
Prof. Michael Weber,Professor für KI und ML,,,,AI Ethics; Neural Networks; Reinforcement Learning,,,,,,,
Prof. Maria Schulz,Professor für KI und ML,,,,Machine Learning; Deep Learning; Explainable AI,,,,,,,
Prof. Laura Wagner,Professor für KI und ML,,,,Natural Language Processing; Quantum AI; AI Ethics,,,,,,,
Dr. Thomas Hoffmann,Senior AI Researcher,,,,Computer Vision; Robotics; Reinforcement Learning,,,,,,,
PD Dr. Maria Meyer,Senior AI Researcher,,,,Natural Language Processing; Robotics; Deep Learning,,,,,,,
Prof. Michael Hoffmann,Professor für KI und ML,,,,AI Ethics; Quantum AI; Deep Learning,,,,,,,
PD Dr. Martin Fischer,Senior AI Researcher,,,,Machine Learning; Explainable AI; Deep Learning,,,,,,,
PD Dr. Michael Weber,Senior AI Researcher,,,,Computer Vision; AI Ethics; Quantum AI,,,,,,,
PD Dr. Sophie Koch,Senior AI Researcher,,,,Machine Learning; Computer Vision; Deep Learning,,,,,,,
PD Dr. Sophie Weber,Senior AI Researcher,,,,Quantum AI; AI Ethics; Deep Learning,,,,,,,
PD Dr. Thomas Wagner,Senior AI Researcher,,,,Neural Networks; Reinforcement Learning; Robotics,,,,,,,
PD Dr. Alexander Koch,Senior AI Researcher,,,,Neural Networks; Reinforcement Learning; Computer Vision,,,,,,,
Prof. Dr. Anna Meyer,Professor für KI und ML,,,,Natural Language Processing; Neural Networks; Deep Learning,,,,,,,
Prof. Dr. Michael Schulz,Professor für KI und ML,,,,Robotics; Computer Vision; Explainable AI,,,,,,,
PD Dr. Maria Müller,Senior AI Researcher,,,,Machine Learning; Neural Networks; AI Ethics,,,,,,,
Prof. Dr. Laura Wagner,Professor für KI und ML,,,,Robotics; Explainable AI; AI Ethics,,,,,,,
Dr. Michael Meyer,Senior AI Researcher,,,,Quantum AI; Natural Language Processing; AI Ethics,,,,,,,
Prof. Laura Hoffmann,Professor für KI und ML,,,,Robotics; Deep Learning; Reinforcement Learning,,,,,,,
Prof. Michael Hoffmann,Professor für KI und ML,,,,Machine Learning; Explainable AI; Deep Learning,,,,,,,
Prof. Thomas Müller,Professor für KI und ML,,,,Deep Learning; Computer Vision; Explainable AI,,,,,,,
PD Dr. Julia Meyer,Senior AI Researcher,,,,Computer Vision; Quantum AI; Reinforcement Learning,,,,,,,
PD Dr. Laura Müller,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Explainable AI,,,,,,,
PD Dr. Alexander Wagner,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; Reinforcement Learning,,,,,,,
Dr. Maria Hoffmann,Senior AI Researcher,,,,Natural Language Processing; Machine Learning; Quantum AI,,,,,,,
Prof. Dr. Alexander Becker,Professor für KI und ML,,,,Quantum AI; Natural Language Processing; Deep Learning,,,,,,,
Prof. Dr. Alexander Koch,Professor für KI und ML,,,,Explainable AI; Machine Learning; AI Ethics,,,,,,,
Prof. Dr. Sophie Hoffmann,Professor für KI und ML,,,,Computer Vision; Neural Networks; Explainable AI,,,,,,,
Prof. Dr. Sophie Koch,Professor für KI und ML,,,,Machine Learning; Deep Learning; Reinforcement Learning,,,,,,,
PD Dr. Alexander Fischer,Senior AI Researcher,,,,Machine Learning; AI Ethics; Deep Learning,,,,,,,
PD Dr. Thomas Becker,Senior AI Researcher,,,,Quantum AI; Explainable AI; Computer Vision,,,,,,,
Dr. Michael Müller,Senior AI Researcher,,,,Computer Vision; Neural Networks; Natural Language Processing,,,,,,,
Prof. Laura Schmidt,Professor für KI und ML,,,,Quantum AI; Explainable AI; Machine Learning,,,,,,,
Dr. Martin Müller,Senior AI Researcher,,,,Natural Language Processing; Neural Networks; Robotics,,,,,,,
Prof. Dr. Julia Wagner,Professor für KI und ML,,,,Machine Learning; Deep Learning; Computer Vision,,,,,,,
Dr. Martin Weber,Senior AI Researcher,,,,Robotics; Neural Networks; Reinforcement Learning,,,,,,,
PD Dr. Christian Becker,Senior AI Researcher,,,,Machine Learning; Neural Networks; Natural Language Processing,,,,,,,
Dr. Sophie Weber,Senior AI Researcher,,,,Machine Learning; Deep Learning; Reinforcement Learning,,,,,,,
Prof. Dr. Julia Becker,Professor für KI und ML,,,,Machine Learning; Explainable AI; Deep Learning,,,,,,,
Dr. Anna Wagner,Senior AI Researcher,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
Prof. Alexander Wagner,Professor für KI und ML,,,,Computer Vision; Machine Learning; Deep Learning,,,,,,,
Prof. Thomas Meyer,Professor für KI und ML,,,,Neural Networks; AI Ethics; Machine Learning,,,,,,,
Prof. Maria Schmidt,Professor für KI und ML,,,,Machine Learning; Quantum AI; Reinforcement Learning,,,,,,,
Dr. Maria Koch,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; Reinforcement Learning,,,,,,,
Prof. Dr. Anna Koch,Professor für KI und ML,,,,Deep Learning; Robotics; Machine Learning,,,,,,,
Dr. Anna Hoffmann,Senior AI Researcher,,,,Deep Learning; Machine Learning; AI Ethics,,,,,,,
Prof. Dr. Anna Weber,Professor für KI und ML,,,,Robotics; AI Ethics; Neural Networks,,,,,,,
PD Dr. Maria Hoffmann,Senior AI Researcher,,,,Explainable AI; Reinforcement Learning; Computer Vision,,,,,,,
PD Dr. Alexander Schmidt,Senior AI Researcher,,,,Computer Vision; Neural Networks; Machine Learning,,,,,,,
Dr. Michael Schmidt,Senior AI Researcher,,,,Machine Learning; Deep Learning; Quantum AI,,,,,,,
PD Dr. Christian Schmidt,Senior AI Researcher,,,,AI Ethics; Reinforcement Learning; Robotics,,,,,,,
Prof. Anna Meyer,Professor für KI und ML,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
PD Dr. Maria Schulz,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; Quantum AI,,,,,,,
Dr. Sophie Koch,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Neural Networks,,,,,,,
PD Dr. Anna Müller,Senior AI Researcher,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
Prof. Dr. Alexander Wagner,Professor für KI und ML,,,,Machine Learning; Deep Learning; Explainable AI,,,,,,,
Dr. Julia Becker,Senior AI Researcher,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
Dr. Sophie Hoffmann,Senior AI Researcher,,,,Computer Vision; AI Ethics; Natural Language Processing,,,,,,,
Dr. Laura Schmidt,Senior AI Researcher,,,,Robotics; Computer Vision; Explainable AI,,,,,,,
Prof. Christian Schmidt,Professor für KI und ML,,,,Computer Vision; Deep Learning; Quantum AI,,,,,,,
Prof. Dr. Christian Fischer,Professor für KI und ML,,,,Natural Language Processing; Machine Learning; Robotics,,,,,,,
PD Dr. Michael Wagner,Senior AI Researcher,,,,AI Ethics; Explainable AI; Quantum AI,,,,,,,
Dr. Maria Wagner,Senior AI Researcher,,,,Deep Learning; AI Ethics; Neural Networks,,,,,,,
Prof. Dr. Alexander Hoffmann,Professor für KI und ML,,,,Computer Vision; Explainable AI; Deep Learning,,,,,,,
Dr. Martin Schmidt,Senior AI Researcher,,,,Robotics; Reinforcement Learning; AI Ethics,,,,,,,
Prof. Dr. Thomas Schmidt,Professor für KI und ML,,,,Machine Learning; Deep Learning; AI Ethics,,,,,,,
Prof. Dr. Sophie Schmidt,Professor für KI und ML,,,,Machine Learning; Neural Networks; Computer Vision,,,,,,,
PD Dr. Martin Meyer,Senior AI Researcher,,,,Machine Learning; Reinforcement Learning; AI Ethics,,,,,,,
Prof. Dr. Michael Becker,Professor für KI und ML,,,,Quantum AI; AI Ethics; Neural Networks,,,,,,,
Prof. Martin Koch,Professor für KI und ML,,,,Neural Networks; Deep Learning; Machine Learning,,,,,,,
Prof. Michael Koch,Professor für KI und ML,,,,Deep Learning; Quantum AI; Explainable AI,,,,,,,
Prof. Dr. Alexander Fischer,Professor für KI und ML,,,,Neural Networks; Computer Vision; Quantum AI,,,,,,,
Prof. Thomas Becker,Professor für KI und ML,,,,Deep Learning; Machine Learning; Neural Networks,,,,,,,
Dr. Julia Müller,Senior AI Researcher,,,,Machine Learning; Computer Vision; Robotics,,,,,,,
Prof. Maria Fischer,Professor für KI und ML,,,,AI Ethics; Computer Vision; Explainable AI,,,,,,,
PD Dr. Anna Schmidt,Senior AI Researcher,,,,Robotics; Machine Learning; Quantum AI,,,,,,,
PD Dr. Martin Wagner,Senior AI Researcher,,,,Natural Language Processing; Neural Networks; AI Ethics,,,,,,,
PD Dr. Christian Müller,Senior AI Researcher,,,,Computer Vision; Machine Learning; Explainable AI,,,,,,,
Dr. Anna Weber,Senior AI Researcher,,,,Machine Learning; Deep Learning; Reinforcement Learning,,,,,,,
PD Dr. Julia Schmidt,Senior AI Researcher,,,,Machine Learning; Natural Language Processing; Reinforcement Learning,,,,,,,
Prof. Martin Schulz,Professor für KI und ML,,,,Quantum AI; Explainable AI; Machine Learning,,,,,,,
Prof. Dr. Christian Hoffmann,Professor für KI und ML,,,,Machine Learning; Robotics; Natural Language Processing,,,,,,,
Dr. Thomas Koch,Senior AI Researcher,,,,Machine Learning; Neural Networks; Deep Learning,,,,,,,
Dr. Julia Schmidt,Senior AI Researcher,,,,Robotics; Neural Networks; Explainable AI,,,,,,,
PD Dr. Martin Schulz,Senior AI Researcher,,,,Neural Networks; Robotics; Explainable AI,,,,,,,
Prof. Anna Müller,Professor für KI und ML,,,,AI Ethics; Neural Networks; Computer Vision,,,,,,,
Dr. Anna Fischer,Senior AI Researcher,,,,Natural Language Processing; Robotics; Quantum AI,,,,,,,
PD Dr. Alexander Schmidt,Senior AI Researcher,,,,Deep Learning; Robotics; Machine Learning,,,,,,,
PD Dr. Laura Koch,Senior AI Researcher,,,,Natural Language Processing; AI Ethics; Computer Vision,,,,,,,
Prof. Laura Müller,Professor für KI und ML,,,,Explainable AI; Natural Language Processing; Computer Vision,,,,,,,
PD Dr. Laura Fischer,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; Reinforcement Learning,,,,,,,
Prof. Thomas Schulz,Professor für KI und ML,,,,Machine Learning; Neural Networks; Quantum AI,,,,,,,
Prof. Dr. Martin Schmidt,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; Quantum AI,,,,,,,
Prof. Christian Schulz,Professor für KI und ML,,,,Quantum AI; Neural Networks; Explainable AI,,,,,,,
Prof. Dr. Thomas Fischer,Professor für KI und ML,,,,Computer Vision; AI Ethics; Natural Language Processing,,,,,,,
Prof. Michael Becker,Professor für KI und ML,,,,Reinforcement Learning; Robotics; Machine Learning,,,,,,,
PD Dr. Christian Hoffmann,Senior AI Researcher,,,,Neural Networks; Explainable AI; Machine Learning,,,,,,,
Prof. Martin Koch,Professor für KI und ML,,,,Neural Networks; Natural Language Processing; Machine Learning,,,,,,,
Dr. Sophie Schulz,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Explainable AI,,,,,,,
Dr. Christian Schmidt,Senior AI Researcher,,,,Neural Networks; Robotics; Deep Learning,,,,,,,
Prof. Maria Becker,Professor für KI und ML,,,,Machine Learning; AI Ethics; Deep Learning,,,,,,,
PD Dr. Laura Meyer,Senior AI Researcher,,,,Robotics; AI Ethics; Machine Learning,,,,,,,
Prof. Maria Meyer,Professor für KI und ML,,,,Machine Learning; Reinforcement Learning; Neural Networks,,,,,,,
Prof. Michael Fischer,Professor für KI und ML,,,,Reinforcement Learning; Computer Vision; Quantum AI,,,,,,,
Prof. Dr. Sophie Schmidt,Professor für KI und ML,,,,Deep Learning; Neural Networks; Machine Learning,,,,,,,
Prof. Laura Müller,Professor für KI und ML,,,,Computer Vision; Neural Networks; Deep Learning,,,,,,,
PD Dr. Michael Fischer,Senior AI Researcher,,,,Reinforcement Learning; AI Ethics; Computer Vision,,,,,,,
Dr. Thomas Meyer,Senior AI Researcher,,,,Explainable AI; AI Ethics; Computer Vision,,,,,,,
Prof. Dr. Sophie Wagner,Professor für KI und ML,,,,AI Ethics; Computer Vision; Natural Language Processing,,,,,,,
PD Dr. Michael Becker,Senior AI Researcher,,,,Machine Learning; Neural Networks; Natural Language Processing,,,,,,,
PD Dr. Sophie Müller,Senior AI Researcher,,,,Machine Learning; Robotics; Reinforcement Learning,,,,,,,
Prof. Julia Koch,Professor für KI und ML,,,,Robotics; Neural Networks; Reinforcement Learning,,,,,,,
Prof. Dr. Martin Weber,Professor für KI und ML,,,,AI Ethics; Natural Language Processing; Robotics,,,,,,,
Prof. Dr. Anna Müller,Professor für KI und ML,,,,Deep Learning; Neural Networks; Computer Vision,,,,,,,
Dr. Martin Koch,Senior AI Researcher,,,,Robotics; Quantum AI; Explainable AI,,,,,,,
Prof. Anna Fischer,Professor für KI und ML,,,,Computer Vision; Deep Learning; Machine Learning,,,,,,,
